book,bookNumber,chapter,verse,reference,referenceKey,testament,text
Genesis,1,1,1,Genesis 1:1,genesis-1-1,Old Testament,In the beginning God created the heaven and the earth.
Genesis,1,1,2,Genesis 1:2,genesis-1-2,Old Testament,"And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters."
Genesis,1,1,3,Genesis 1:3,genesis-1-3,Old Testament,"And God said, Let there be light: and there was light."
Genesis,1,1,4,Genesis 1:4,genesis-1-4,Old Testament,"And God saw the light, that it was good: and God divided the light from the darkness."
Genesis,1,1,5,Genesis 1:5,genesis-1-5,Old Testament,"And God called the light Day, and the darkness he called Night. And the evening and the morning were the first day."
Genesis,1,1,6,Genesis 1:6,genesis-1-6,Old Testament,"And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters."
Genesis,1,1,7,Genesis 1:7,genesis-1-7,Old Testament,"And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so."
Genesis,1,1,8,Genesis 1:8,genesis-1-8,Old Testament,And God called the firmament Heaven. And the evening and the morning were the second day.
Genesis,1,1,9,Genesis 1:9,genesis-1-9,Old Testament,"And God said, Let the waters under the heaven be gathered together unto one place, and let the dry land appear: and it was so."
Genesis,1,1,10,Genesis 1:10,genesis-1-10,Old Testament,And God called the dry land Earth; and the gathering together of the waters called he Seas: and God saw that it was good.
Genesis,1,1,11,Genesis 1:11,genesis-1-11,Old Testament,"And God said, Let the earth bring forth grass, the herb yielding seed, and the fruit tree yielding fruit after his kind, whose seed is in itself, upon the earth: and it was so."
Genesis,1,1,12,Genesis 1:12,genesis-1-12,Old Testament,"And the earth brought forth grass, and herb yielding seed after his kind, and the tree yielding fruit, whose seed was in itself, after his kind: and God saw that it was good."
Genesis,1,1,13,Genesis 1:13,genesis-1-13,Old Testament,And the evening and the morning were the third day.
Genesis,1,1,14,Genesis 1:14,genesis-1-14,Old Testament,"And God said, Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days, and years:"
Genesis,1,1,15,Genesis 1:15,genesis-1-15,Old Testament,And let them be for lights in the firmament of the heaven to give light upon the earth: and it was so.
Genesis,1,1,16,Genesis 1:16,genesis-1-16,Old Testament,"And God made two great lights; the greater light to rule the day, and the lesser light to rule the night: he made the stars also."
Genesis,1,1,17,Genesis 1:17,genesis-1-17,Old Testament,"And God set them in the firmament of the heaven to give light upon the earth,"
Genesis,1,1,18,Genesis 1:18,genesis-1-18,Old Testament,"And to rule over the day and over the night, and to divide the light from the darkness: and God saw that it was good."
Genesis,1,1,19,Genesis 1:19,genesis-1-19,Old Testament,And the evening and the morning were the fourth day.
Genesis,1,1,20,Genesis 1:20,genesis-1-20,Old Testament,"And God said, Let the waters bring forth abundantly the moving creature that hath life, and fowl that may fly above the earth in the open firmament of heaven."
